Sl,Catchment,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
46,C46,10.60,12.70,16.90,22.30,25.80,27.00,25.50,24.60,23.70,20.60,16.00,12.30
47,C47,1.74,3.37,7.04,11.64,14.80,16.67,17.16,16.56,14.79,11.23,7.27,3.94
48,C48,4.97,6.60,10.33,15.03,18.17,19.63,19.20,18.47,17.17,14.23,10.37,7.13
49,C49,14.20,17.00,21.94,28.00,31.77,32.90,30.59,29.23,28.71,25.37,19.94,15.43
50,C50,14.70,17.68,22.90,29.04,32.84,33.70,31.04,29.46,29.18,26.06,20.56,15.94
51,C51,15.27,18.33,23.78,29.96,33.74,34.31,31.18,29.18,29.23,26.54,21.07,16.46
52,C52,15.55,18.60,23.92,30.27,34.12,34.58,31.25,29.40,29.35,26.52,21.20,16.57
55,C55,16.14,19.27,24.66,30.66,34.34,34.33,30.73,29.11,29.16,26.60,21.37,17.16
56,C56,16.46,19.42,24.62,30.14,33.39,32.85,29.56,27.68,28.25,26.61,21.75,17.64
57,C57,17.94,20.93,25.97,31.13,34.07,32.58,28.66,26.73,27.49,26.59,22.46,18.86
59,C59,15.50,18.60,24.00,30.40,34.30,34.80,31.50,29.50,29.50,26.70,21.40,16.60
60,C60,15.63,18.99,24.49,30.53,34.27,34.17,30.39,28.26,28.47,26.32,21.20,16.69
61,C61,16.62,19.80,25.01,30.55,34.05,33.15,29.09,27.04,27.55,25.94,21.42,17.52
62,C62,16.84,19.90,24.93,30.41,34.00,33.04,29.07,27.19,27.63,25.82,21.38,17.67
63,C63,16.68,19.72,24.56,29.86,33.27,32.11,28.12,26.69,26.97,25.04,20.71,17.26
64,C64,15.88,18.94,23.58,28.93,32.26,31.75,28.21,27.20,27.15,24.89,20.24,16.46
65,C65,-4.50,-3.10,0.20,4.60,7.90,10.70,12.30,11.70,9.40,4.80,0.50,-2.60
66,C66,2.85,4.35,7.85,12.40,15.35,16.90,16.85,16.05,14.75,11.65,8.00,4.95
67,C67,-8.20,-6.60,-3.50,0.80,4.40,7.80,10.10,9.50,6.80,1.40,-3.40,-6.40
68,C68,3.83,5.43,9.00,13.50,16.40,17.90,17.70,17.07,15.87,12.57,8.83,5.77
69,C69,12.15,14.60,18.90,24.55,27.70,28.60,27.00,26.35,25.50,22.30,17.65,13.65
70,C70,14.87,17.77,22.80,28.97,32.47,33.30,30.57,29.37,29.07,25.90,20.63,16.07
