DISTNAME,0_1_ppt,10_15_ppt,15_20_ppt,1_2_ppt,20_25_ppt,2_4_ppt,4_5_ppt,5_10_ppt,more_than_25_ppt
BAGERHAT,2.70,900.64,1282.45,128.97,657.21,234.94,81.55,480.11,274.15
BARGUNA,740.73,74.27,76.49,132.69,13.90,151.87,90.49,240.27,0.00
BARISAL,2546.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BHOLA,1056.15,0.00,0.00,412.09,0.00,667.02,237.99,617.92,0.00
GOPALGANJ,1078.55,0.00,0.00,237.74,0.00,79.95,33.09,36.89,0.00
JESSORE,1876.31,73.49,0.00,173.63,0.00,194.06,56.52,210.66,0.00
JHALOKATI,741.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KHULNA,2.08,540.96,380.11,5.68,1761.59,62.91,32.35,187.73,1222.33
NARAIL,9.77,36.83,0.00,215.63,0.00,223.70,98.51,396.88,0.00
PATUAKHALI,1088.59,95.46,268.24,297.39,17.42,466.03,319.52,538.42,0.00
PIROJPUR,836.22,27.30,0.00,185.81,0.00,107.20,30.68,76.39,0.00
SATKHIRA,172.85,237.30,1205.22,52.32,1001.26,145.97,33.64,167.48,793.09
SHARIATPUR,1242.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
